"3A_Code","Taxonomic_Code","Identifier","Name_En","Name_Fr","Name_Es","Name_Ar","Name_Cn","Name_Ru","Scientific_Name","Author","Major_Group","Yearbook_Group_En","Yearbook_Group_Fr","Yearbook_Group_Es","Yearbook_Group_Ar","Yearbook_Group_Cn","Yearbook_Group_Ru","ISSCAAP_Group_En","ISSCAAP_Group_Fr","ISSCAAP_Group_Es","ISSCAAP_Group_Ar","ISSCAAP_Group_Cn","ISSCAAP_Group_Ru","CPC_Class_En","CPC_Class_Fr","CPC_Class_Es","CPC_Class_Ar","CPC_Class_Cn","CPC_Class_Ru","CPC_Group_En","CPC_Group_Fr","CPC_Group_Es","CPC_Group_Ar","CPC_Group_Cn","CPC_Group_Ru"
"LAS","1020010XXXXX","2000","Lampreys nei","Lamproies nca","Lampreas nep","","","Миноговые","Petromyzontidae","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Miscellaneous diadromous fishes","Poissons diadromes divers","Peces diádromos diversos","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"LAR","102001000201","2002","River lamprey","Lamproie de rivière","Lamprea de río","","","Минога речная","Lampetra fluviatilis","(Linnaeus 1758)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Miscellaneous diadromous fishes","Poissons diadromes divers","Peces diádromos diversos","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"SBL","105002000201","2003","Bluntnose sixgill shark","Requin griset","Cañabota gris","","","","Hexanchus griseus","(Bonnaterre 1788)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"NTC","105002000301","2004","Broadnose sevengill shark","Platnez","Cañabota gata","","","","Notorynchus cepedianus","(Péron 1807)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"BSK","106007000101","2005","Basking shark","Pèlerin","Peregrino","","","Акула гигантская","Cetorhinus maximus","(Gunnerus 1765)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"CCT","106002000101","2006","Sand tiger shark","Requin taureau","Toro bacota","قِرش ثَور","锥齿鲨","","Carcharias taurus","Rafinesque 1810","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"THR","1060060001XX","2007","Thresher sharks nei","Renards de mer nca","Zorros nep","","","","Alopias spp","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"ALV","106006000101","2008","Thresher","Renard","Zorro","القرش الثّعلب","狐形长尾鲨","Лисица морская обыкновенная","Alopias vulpinus","(Bonnaterre 1788)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"PTH","106006000102","2009","Pelagic thresher","Renard pélagique","Zorro pelágico","","","","Alopias pelagicus","Nakamura 1935","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"MAK","1060080002XX","2010","Mako sharks","Taupes","Marrajos","السّنفقيات القرشيات","鲭鲨属未定种","","Isurus spp","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"SMA","106008000201","2011","Shortfin mako","Taupe bleue","Marrajo dientuso","","","Акула-мако","Isurus oxyrinchus","Rafinesque 1810","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"LMD","106008000303","2012","Salmon shark","Requin-taupe saumon","Marrajo salmón","","","","Lamna ditropis","Hubbs & Follett 1947","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"GNC","107007000901","2013","Nurse shark","Requin-nourrice","Gata nodriza","","","","Ginglymostoma cirratum","(Bonnaterre 1788)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"CVX","1080XXXXXXXX","2014","Ground sharks","","","","","","Carcharhiniformes","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"GAU","1080010005XX","2015","Crest-tail catsharks nei","Chiens galeus nca","Pintarrojas nep","","","","Galeus spp","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"SYC","108002000601","2016","Small-spotted catshark","Petite roussette","Pintarroja","غرَّاء مُبَقَّعة صغيرة","小点猫鲨","","Scyliorhinus canicula","(Linnaeus 1758)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"API","1080010001XX","2017","Deep-water catsharks","Holbiches","Pejegatos","أقراش المِياه العميقة","光尾鲨未定种","","Apristurus spp","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"BSH","108008000801","2018","Blue shark","Peau bleue","Tiburón azul","","","Акула синяя","Prionace glauca","(Linnaeus 1758)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"BLR","108008000122","2019","Blacktip reef shark","Requin pointes noires","Tiburón de puntas negras","","","","Carcharhinus melanopterus","(Quoy & Gaimard 1824)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"CCR","108008000126","2020","Smalltail shark","Requin tiqueue","Tiburón poroso","","","","Carcharhinus porosus","(Ranzani 1840)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"FAL","108008000112","2021","Silky shark","Requin soyeux","Tiburón jaquetón","","","","Carcharhinus falciformis","(Bibron 1839)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"BRO","108008000108","2022","Copper shark","Requin cuivre","Tiburón cobrizo","","","","Carcharhinus brachyurus","(Günther 1870)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"CCB","108008000109","2023","Spinner shark","Requin tisserand","Tiburón aleta negra","","","","Carcharhinus brevipinna","(Valenciennes 1839)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"CCM","108008000121","2024","Hardnose shark","Requin à nez rude","Tiburón trompudo","","","","Carcharhinus macloti","(Müller & Henle 1839)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"CCA","108008000103","2025","Bignose shark","Requin babosse","Tiburón baboso","","","","Carcharhinus altimus","(Springer 1950)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"NGB","108008000701","2026","Lemon shark","Requin citron","Tiburón galano","","","","Negaprion brevirostris","(Poey 1868)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"SPY","1080100XXXXX","2027","Hammerhead sharks, etc. nei","Requins marteau, etc. nca","Cornudas, etc. nep","","","","Sphyrnidae","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"SPL","108010000202","2028","Scalloped hammerhead","Requin-marteau halicorne","Cornuda común","","","","Sphyrna lewini","(Griffith & Smith 1834)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"SDV","1080060007XX","2029","Smooth-hounds nei","Émissoles nca","Tollos nep","","","","Mustelus spp","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"CTK","108006000707","2030","Brown smooth-hound","Émissole brune","Musola parda","كلب البحر الأملس البني","褐星鲨","","Mustelus henlei","(Gill 1863)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"SDS","108006000715","2031","Starry smooth-hound","Émissole tachetée","Musola dentuda","كلب البحر الأملس مُبَقَّش","宽鼻星鲨","","Mustelus asterias","Cloquet 1821","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"PTM","108004000201","2032","False catshark","Requin à longue dorsale","Musolón de aleta larga","قِرش قِط طويل الزِّعنفة الظَّهرية","小齿拟皱唇鲨","","Pseudotriakis microdon","de Brito Capello 1868","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"GSK","109003000502","2033","Greenland shark","Laimargue du Groenland","Tollo de Groenlandia","","","Акула полярная атлантическая","Somniosus microcephalus","(Bloch & Schneider 1801)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"DGZ","1090060002XX","2034","Dogfishes nei","Aiguillats nca","Mielgas nep","","","","Squalus spp","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"DOP","109006000206","2035","Shortnose spurdog","Aiguillat nez court","Galludo ñato","","","","Squalus megalops","(Macleay 1881)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"GUQ","109005000107","2036","Leafscale gulper shark","Squale-chagrin de l'Atlantique","Quelvacho negro","","","","Centrophorus squamosus","(Bonnaterre 1788)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"ETX","109002000317","2037","Velvet belly","Sagre commun","Negrito","قِرش فانوس شائع","黑腹鸟鲨","","Etmopterus spinax","(Linnaeus 1758)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"ETP","109002000314","2038","Smooth lanternshark","Sagre nain","Tollo lucero liso","قِرش فانوس ليِّن","光鳞鸟鲨","","Etmopterus pusillus","(Lowe 1839)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"CYO","109003000101","2039","Portuguese dogfish","Pailona commun","Pailona","كلب البحر برتغالي شائع","腔鳞荆鲨","Акула португальская","Centroscymnus coelolepis","Bocage & Capello 1864","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"CYP","109003000201","2040","Longnose velvet dogfish","Pailona à long nez","Sapata negra","كلب البحر برتغالي ذو منقار طويل","长吻荆鲨","Акула длинноносая белоглазая","Centroselachus crepidater","(Bocage & Capello 1864)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"SYR","109003000402","2043","Knifetooth dogfish","Squale-grogneur commun","Bruja","كلب البحر ذو أسنان حادَّة","尖齿异鳞鲨","","Scymnodon ringens","Bocage & Capello 1864","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"SCK","109001000101","2044","Kitefin shark","Squale liche","Carocho","","","Далатия (=чёрная пряморотая акула)","Dalatias licha","(Bonnaterre 1788)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"CFB","109002000201","2045","Black dogfish","Aiguillat noir","Tollo negro merga","كلب البحر أسود","黑霞鲨","Акула черная собачья Фабрициуса","Centroscyllium fabricii","(Reinhardt 1825)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"AGN","109301000114","2046","Angelshark","Ange de mer commun","Angelote","","","Скватина европейская (=морской ангел)","Squatina squatina","(Linnaeus 1758)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"OXN","109004000605","2047","Sailfin roughshark","Humantin","Cerdo marino velero","قِرش فظّ زِعنفة قِلع","帆鳍尖背角鲨","","Oxynotus paradoxus","Frade 1929","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"GTF","1103010XXXXX","2048","Guitarfishes, etc. nei","Guitares, etc. nca","Guitarras, etc. nep","","","","Rhinobatidae","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"GUF","110301000204","2049","Pacific guitarfish","Poisson-guitare du Pacifique","Guitarra del Pacífico","","","","Pseudobatos planiceps","(Garman 1880)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"SAW","1103040XXXXX","2050","Sawfishes","Poissons-scies","Peces sierra","","","","Pristidae","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"RJB","110501000601","2051","Blue skate","Pocheteau gris","Noriega","","","","Dipturus batis","(Linnaeus 1758)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"RJR","110501000104","2052","Starry ray","Raie radiée","Raya radiante","شِفنين بحري شعاعية","辐鳐","","Amblyraja radiata","Donovan 1808","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"RJI","110501000701","2053","Sandy ray","Raie circulaire","Raya falsa vela","شفنين بحري دائرية","圆盘鳐","","Leucoraja circularis","(Couch 1838)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"RJE","110501001210","2054","Small-eyed ray","Raie mêlée","Raya colorada","شِفنين بحري مَمزُوجة","小睛斑鳐","","Raja microocellata","Montagu 1818","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"RJU","110501001217","2055","Undulate ray","Raie brunette","Raya mosaica","شِفنين بحري أسمرة","波鳐","","Raja undulata","Lacépède 1802","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"RJA","110501001402","2056","White skate","Raie blanche","Raya bramante","شِنين بحري بيضاء","矛吻鳐","","Rostroraja alba","(Lacépède 1803)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"RJD","110501000703","2057","Little skate","Raie hérisson","","","","","Leucoraja erinacea","(Mitchill 1852)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"RJL","110501000611","2058","Barndoor skate","Grande raie","","","","","Dipturus laevis","(Mitchill 1818)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"BEA","110502000407","2059","Eaton's skate","Raie d'Eaton","Raya de Eaton","","","Скат Итона глубоководный","Bathyraja eatonii","(Günther 1876)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"RJQ","110502000426","2060","Spinetail ray","Raie à queue épineuse","","","","","Bathyraja spinicauda","(Jensen 1914)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"STI","1108030003XX","2061","Stingrays nei","Pastenagues nca","Pastinacas nep","","","","Dasyatis spp","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"PLS","110803001401","2062","Pelagic stingray","Pastenague violette","Raya-látigo violeta","","","","Pteroplatytrygon violacea","(Bonaparte 1832)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"MAN","1108120XXXXX","2063","Mantas, devil rays nei","Mantes, diables de mer nca","Mantas, diablos nep","","","","Mobulidae","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
